,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed (mph),Country,Date
359,Vestmannaeyjar,63.4427,-20.2734,37.62,70,54,8.79,IS,1620357435
360,Bulalacao,12.3254,121.3435,86.49,64,47,20.4,PH,1620357576
361,Prieska,-29.6641,22.7474,57.45,75,100,6.11,ZA,1620357577
362,Upata,8.0086,-62.3989,75.99,93,100,3.0,VE,1620357578
363,Château-Thierry,49.05,3.4,39.0,94,18,3.0,FR,1620357578
364,College,64.8569,-147.8028,54.0,47,75,13.8,US,1620357404
365,Sioux Lookout,50.1001,-91.917,37.4,70,75,9.22,CA,1620357579
366,Labuhan,-6.8844,112.2051,83.46,72,100,3.36,ID,1620357461
367,Half Moon Bay,37.4636,-122.4286,57.2,100,90,6.91,US,1620357406
368,Homer,59.6425,-151.5483,46.4,71,75,8.05,US,1620357579
369,Zaysan,47.4667,84.8667,81.9,19,20,9.73,KZ,1620357580
370,Gaoual,11.75,-13.2,80.87,46,100,6.91,GN,1620357580
371,Guerrero Negro,27.9769,-114.0611,62.13,86,0,14.9,MX,1620357479
372,Ulladulla,-35.35,150.4667,66.2,100,75,8.05,AU,1620357413
373,Fukuechō,32.6881,128.8419,66.2,68,75,9.22,JP,1620357387
374,Elizabeth City,36.2946,-76.2511,55.4,71,1,6.91,US,1620357580
375,Bilma,18.6853,12.9164,86.41,10,89,5.86,NE,1620357581
376,Sánchez,19.2281,-69.6137,74.1,83,1,6.15,DO,1620357581
377,Kovdor,67.5662,30.4758,26.38,85,100,10.76,RU,1620357581
378,Dedza,-14.3779,34.3332,45.57,76,88,3.33,MW,1620357582
379,Turukhansk,65.8167,87.9833,35.4,97,100,16.35,RU,1620357582
380,Rūdbār,30.15,62.6,78.66,30,0,1.9,AF,1620357582
381,New Amsterdam,6.25,-57.5167,74.57,95,77,3.42,GY,1620357583
382,Collie,-33.3667,116.15,60.01,90,56,6.38,AU,1620357583
383,Shache,38.4167,77.2406,73.36,12,100,3.11,CN,1620357583
384,Burē,10.7,37.0667,58.62,89,100,4.43,ET,1620357584
385,Hriňová,48.5779,19.5257,41.86,96,100,1.12,SK,1620357584
386,Buchanan,5.8808,-10.0467,78.94,83,100,5.41,LR,1620357439
387,Laas,46.6166,10.7002,45.0,100,90,4.61,IT,1620357584
388,Los Llanos de Aridane,28.6585,-17.9182,68.0,64,90,8.05,ES,1620357585
389,Salinópolis,-0.6136,-47.3561,77.99,84,20,5.79,BR,1620357585
390,Alcázar de San Juan,39.3901,-3.2083,53.01,67,31,3.94,ES,1620357585
391,Liuzhou,24.3126,109.3892,82.69,74,82,8.46,CN,1620357586
392,Cockburn Town,21.4612,-71.1419,78.76,74,0,20.02,TC,1620357586
393,Barbastro,42.0356,0.1269,57.99,72,0,9.22,ES,1620357586
394,Lata,40.1629,-8.3327,57.99,96,63,2.24,PT,1620357443
395,Road Town,18.4167,-64.6167,78.01,83,1,5.01,VG,1620357362
396,Anadyr,64.75,177.4833,24.8,80,0,6.71,RU,1620357587
397,Agnibilékrou,7.1344,-3.2047,72.18,96,100,2.98,CI,1620357587
398,Mildura,-34.2,142.15,70.0,30,75,4.61,AU,1620357307
399,Santa Cruz de Tenerife,28.4682,-16.2546,66.0,88,90,12.66,ES,1620357587
400,Sibolga,1.7427,98.7792,85.06,65,100,2.21,ID,1620357588
401,Kargasok,59.0556,80.8572,51.26,58,7,12.97,RU,1620357588
402,Kottūru,14.8167,76.2167,83.93,54,25,2.89,IN,1620357588
403,Province of Mantua,45.1667,10.7833,52.0,86,100,5.01,IT,1620357490
404,Nuuk,64.1835,-51.7216,28.4,93,90,10.36,GL,1620357589
405,Moose Factory,51.2585,-80.6094,35.6,93,75,4.61,CA,1620357589
406,Derbent,42.0678,48.2899,52.29,73,33,7.0,RU,1620357589
407,Parit Buntar,5.1267,100.4932,87.8,70,20,4.61,MY,1620357590
408,Salalah,17.0151,54.0924,84.2,79,40,6.24,OM,1620357369
409,Bathsheba,13.2167,-59.5167,78.8,61,20,19.57,BB,1620357431
410,San Julián,21.0167,-102.1667,67.39,41,47,14.38,MX,1620357450
411,Santa Vitória do Palmar,-33.5189,-53.3681,53.01,76,75,9.24,BR,1620357590
412,Ponta Delgada,37.7333,-25.6667,62.6,100,75,6.91,PT,1620357431
413,Coquimbo,-29.9533,-71.3436,59.0,88,90,4.61,CL,1620357591
414,Brisas Barra de Suchiate,14.55,-92.2167,73.4,100,90,3.44,MX,1620357591
415,Savonlinna,61.8699,28.88,32.0,93,90,6.91,FI,1620357591
416,Nago,26.5881,127.9761,82.4,78,90,19.57,JP,1620357592
417,Naze,28.3667,129.4833,75.2,94,75,17.27,JP,1620357592
418,Bakchar,57.0186,82.0711,54.03,54,61,9.73,RU,1620357592
419,Carballo,43.213,-8.691,57.99,86,100,1.01,ES,1620357455
420,Saint Anthony,45.0205,-93.218,55.4,35,90,11.5,US,1620357456
421,Pangody,65.85,74.4859,31.55,99,99,14.2,RU,1620357469
422,Caucaia,-3.7361,-38.6531,82.0,94,75,4.61,BR,1620357593
423,Celldömölk,47.2571,17.1503,48.2,87,75,4.61,HU,1620357593
424,Chetwayi,10.5333,76.05,82.4,83,40,2.3,IN,1620357593
425,Pimentel,-6.8367,-79.9342,66.0,82,87,5.99,PE,1620357427
426,Gaoua,10.2992,-3.2508,79.29,65,97,6.49,BF,1620357594
427,Klyuchi,52.2667,79.1667,61.36,41,100,12.75,RU,1620357594
428,Minas de Barroterán,27.6333,-101.2833,80.42,36,10,10.54,MX,1620357594
429,The Valley,18.217,-63.0578,78.8,69,20,13.8,AI,1620357477
430,Staryy Nadym,65.6118,72.6842,32.16,98,100,12.5,RU,1620357595
431,Bauchi,10.5,10.0,79.18,54,100,5.32,NG,1620357595
432,Mahibadhoo,3.7833,72.9667,84.2,70,100,5.75,MV,1620357595
433,Gorontalo,0.5412,123.0595,85.39,75,94,2.19,ID,1620357438
434,Alcântara,-2.4089,-44.4147,78.8,94,40,4.61,BR,1620357596
435,Kavaratti,10.5669,72.642,85.53,68,100,3.8,IN,1620357487
436,Rancho Palos Verdes,33.7445,-118.387,59.0,88,40,6.91,US,1620357596
437,Kayes,14.0,-11.0,92.95,26,100,0.69,ML,1620357597
438,Madang,-5.2246,145.7966,86.41,63,83,6.11,PG,1620357597
439,Villa Unión,23.2,-106.2333,78.01,57,1,3.44,MX,1620357597
440,Grand Gaube,-20.0064,57.6608,73.0,92,3,1.01,MU,1620357598
441,Bandarbeyla,9.4942,50.8122,83.34,71,100,2.75,SO,1620357394
442,Kamaishi,39.2667,141.8833,69.8,37,90,14.97,JP,1620357473
443,Seoul,37.5683,126.9778,62.6,48,40,12.66,KR,1620357592
444,Krasnorechenskiy,44.6265,135.3532,67.35,30,100,12.24,RU,1620357598
445,Palmares do Sul,-30.2578,-50.5097,57.11,71,66,8.14,BR,1620357599
446,Oroville,39.5138,-121.5564,78.8,24,1,8.05,US,1620357305
447,Burns Lake,54.2331,-125.7533,46.4,87,100,6.91,CA,1620357599
448,Semenivka,52.1783,32.5818,39.65,79,11,6.13,UA,1620357599
449,Kolondiéba,11.0882,-6.8926,81.48,46,66,5.5,ML,1620357600
450,Flin Flon,54.7682,-101.865,35.06,72,60,8.16,CA,1620357304
451,Mayumba,-3.432,10.6554,75.67,88,87,5.57,GA,1620357600
452,Abonnema,4.7084,6.7931,76.39,86,100,1.59,NG,1620357600
453,Clyde River,70.4692,-68.5914,21.2,93,40,2.3,CA,1620357396
454,Uruçuí,-7.2294,-44.5561,75.97,81,97,2.06,BR,1620357601
455,Tamandaré,-8.7597,-35.1047,75.69,85,42,0.67,BR,1620357601
456,Kruisfontein,-34.0033,24.7314,61.0,96,4,3.74,ZA,1620357417
457,Lakes Entrance,-37.8811,147.981,71.01,72,20,1.01,AU,1620357603
458,Ducheng,23.2373,111.5317,85.06,69,100,2.37,CN,1620357603
459,Baykit,61.67,96.37,41.5,65,99,12.06,RU,1620357604
460,Wingham,43.8879,-81.3114,41.0,81,100,2.3,CA,1620357604
461,Ganzhou,28.8184,115.4327,76.5,74,90,3.56,CN,1620357458
462,Zeya,53.75,127.2667,43.02,70,100,2.84,RU,1620357441
463,Chennai,13.0878,80.2785,89.6,62,40,6.91,IN,1620357605
464,Nuevo Progreso,23.1667,-97.95,77.0,68,33,3.0,MX,1620357605
465,Makkah al Mukarramah,21.4267,39.8261,83.86,40,3,0.38,SA,1620357358
466,Beacon,41.5048,-73.9696,51.8,43,75,6.91,US,1620357606
467,Borogontsy,62.6683,131.1683,48.52,46,100,4.9,RU,1620357606
468,Fox Lake,42.3967,-88.1837,46.99,71,53,1.01,US,1620357606
469,Kamenka,51.3223,42.7678,53.2,65,100,12.66,RU,1620357607
470,Lamu,-2.2717,40.902,78.71,85,100,17.02,KE,1620357607
471,Abnūb,27.2696,31.1511,78.8,36,0,6.91,EG,1620357607
472,Lázaro Cárdenas,17.9583,-102.2,77.45,76,6,3.96,MX,1620357415
473,Palmer,42.1584,-72.3287,48.2,76,75,3.62,US,1620357608
474,Ust'-Kut,56.7938,105.7672,40.66,71,83,7.7,RU,1620357608
475,São José da Coroa Grande,-8.8978,-35.1478,76.03,84,58,0.89,BR,1620357608
476,Durant,33.994,-96.3708,66.99,63,1,5.75,US,1620357608
477,Sakakah,29.9697,40.2064,73.4,23,0,8.05,SA,1620357609
478,Ust-Maya,60.4167,134.5333,47.77,56,100,4.25,RU,1620357609
479,Yarmouth,41.7057,-70.2286,50.0,81,1,6.53,US,1620357336
480,Whitefish,48.4111,-114.3376,64.4,36,1,3.44,US,1620357610
481,Joshīmath,30.5667,79.5667,65.35,62,100,3.2,IN,1620357457
482,Belmonte,-15.8631,-38.8828,75.2,88,20,2.3,BR,1620357610
483,Biak,-0.9131,122.8766,81.54,77,100,2.68,ID,1620357610
484,Lewiston,44.1003,-70.2148,44.01,75,1,3.83,US,1620357611
485,Alghero,40.5589,8.3181,48.2,93,0,3.44,IT,1620357546
486,San Patricio,28.017,-97.5169,73.99,78,1,5.75,US,1620357406
487,Conde,-7.2597,-34.9075,73.4,100,0,3.44,BR,1620357611
488,Jati,24.3539,68.2671,86.45,57,7,12.55,PK,1620357611
489,Bambanglipuro,-7.95,110.2833,85.57,68,94,8.37,ID,1620357612
490,Devils Lake,48.1128,-98.8651,45.0,39,1,12.66,US,1620357393
491,Isangel,-19.55,169.2667,86.0,70,75,8.05,VU,1620357384
492,Sīra,13.7453,76.9092,84.79,49,10,5.28,IN,1620357612
493,Lavrentiya,65.5833,-171.0,30.58,85,14,3.83,RU,1620357471
494,Nakhon Phanom,17.3333,104.4167,87.8,62,40,4.61,TH,1620357612
495,La Paz,-16.5,-68.15,37.4,93,75,2.3,BO,1620357613
496,Bakau,13.4781,-16.6819,68.0,88,0,14.32,GM,1620357613
497,Changping,40.2186,116.2197,73.4,18,0,22.37,CN,1620357614
498,Port Lincoln,-34.7333,135.8667,70.75,54,86,6.4,AU,1620357443
499,Leeton,-34.5667,146.4,78.8,38,67,6.91,AU,1620357614
500,Waingapu,-9.6567,120.2641,85.17,58,40,10.11,ID,1620357614
501,Luanda,-8.8368,13.2343,77.0,88,40,2.3,AO,1620357315
502,Narodychi,51.2029,29.0823,39.9,79,71,6.6,UA,1620357615
503,Shar,49.5886,81.0453,67.98,44,100,16.53,KZ,1620357615
504,Kemijärvi,66.7131,27.4306,28.24,90,100,9.28,FI,1620357615
505,Iralaya,15.0,-83.2333,80.37,75,82,9.46,HN,1620357615
506,Gamba,-2.65,10.0,74.35,88,78,4.61,GA,1620357616
507,Nuristan,35.3,70.8333,38.57,61,27,1.74,AF,1620357616
508,Narutochō-mitsuishi,34.1833,134.6167,66.2,77,90,3.44,JP,1620357616
509,Nushki,29.5542,66.0215,75.51,28,0,3.09,PK,1620357617
510,Shirokiy,49.758,129.523,54.55,46,100,6.67,RU,1620357617
511,Shimoda,34.6667,138.95,66.99,82,75,10.36,JP,1620357618
512,Kirakira,-10.4544,161.9205,85.42,73,100,13.11,SB,1620357618
513,Chapais,49.7834,-74.8492,32.0,80,75,3.22,CA,1620357464
514,Kinshasa,-4.3246,15.3215,75.2,94,100,3.44,CD,1620357534
515,Kalabo,-14.97,22.6814,68.45,51,100,5.3,ZM,1620357618
516,Baker City,44.7749,-117.8344,60.8,41,40,20.71,US,1620357619
517,Kargil,34.5667,76.1,42.04,50,100,3.33,IN,1620357554
518,George Town,5.4112,100.3354,87.8,74,20,4.61,MY,1620357619
519,Asău,46.4333,26.4,46.99,52,97,3.22,RO,1620357620
520,Santander,43.4647,-3.8044,59.0,88,90,4.72,ES,1620357448
521,Srandakan,-7.9386,110.2506,85.68,68,94,8.34,ID,1620357620
522,Maple Creek,49.9168,-109.4848,55.4,38,100,11.5,CA,1620357620
523,Tāoru,28.2167,76.95,90.0,50,20,5.75,IN,1620357621
524,Port Hardy,50.6996,-127.4199,46.4,87,75,13.8,CA,1620357307
525,Kitgum,3.2783,32.8867,64.78,97,100,0.85,UG,1620357621
526,San Cristobal,7.7669,-72.225,73.4,100,75,9.22,VE,1620357442
527,Xixiang,35.1628,112.865,76.64,12,4,12.39,CN,1620357621
528,Torquay,50.4638,-3.5143,37.99,1,0,1.99,GB,1620357622
529,Muros,42.7762,-9.0603,59.0,88,81,5.01,ES,1620357392
530,Jaru,-10.4389,-62.4664,69.62,94,46,7.7,BR,1620357622
531,Honiara,-9.4333,159.95,87.4,67,58,9.82,SB,1620357456
532,Buzdyak,54.5833,54.55,54.73,66,52,5.53,RU,1620357623
533,Broome,42.2506,-75.833,42.8,49,1,3.44,US,1620357403
534,Bubaque,11.2833,-15.8333,76.95,71,74,13.11,GW,1620357402
535,Cody,44.5263,-109.0565,64.99,31,20,6.2,US,1620357347
536,Siavonga,-16.5382,28.7088,62.58,67,7,5.97,ZM,1620357623
537,Talcahuano,-36.7167,-73.1167,51.8,100,58,6.91,CL,1620357624
538,Kpandae,8.4689,-0.0113,76.1,81,100,8.5,GH,1620357488
539,Barra de Tecoanapa,16.5167,-98.75,81.75,71,100,1.41,MX,1620357624
540,Mountain Home,43.133,-115.6912,77.0,16,75,6.91,US,1620357624
541,Chicama,-7.8447,-79.1469,66.2,82,40,8.05,PE,1620357625
542,Narón,43.5167,-8.1528,57.2,88,40,6.91,ES,1620357625
543,Kingaroy,-26.5333,151.8333,75.99,53,75,9.22,AU,1620357625
544,Mumford,5.2618,-0.759,78.35,87,100,9.22,GH,1620357625
545,Nhulunbuy,-12.2333,136.7667,87.8,45,0,13.8,AU,1620357626
546,Fernandópolis,-20.2839,-50.2464,65.3,76,2,12.06,BR,1620357626
547,Sur,22.5667,59.5289,86.5,53,48,10.4,OM,1620357395
548,Krasnosel'kup,65.7,82.4667,33.69,100,70,9.24,RU,1620357416
549,Yefremov,53.1481,38.0992,45.01,92,100,5.46,RU,1620357627
550,Muli,2.9167,73.5667,84.54,71,98,7.31,MV,1620357627
551,Chase,50.8165,-119.6857,62.6,55,92,2.3,CA,1620357627
552,Mareeba,-17.0,145.4333,84.99,54,40,10.36,AU,1620357446
553,Tsimmerbude,54.675,20.1347,39.2,87,0,6.71,RU,1620357628
554,Huarmey,-10.0681,-78.1522,67.12,83,94,6.15,PE,1620357425
555,Arlit,18.7369,7.3853,85.66,7,12,6.69,NE,1620357628
556,Pochutla,15.7432,-96.4661,78.01,84,97,4.0,MX,1620357462
557,Anchorage,61.2181,-149.9003,48.99,46,90,10.36,US,1620357534
558,Nantucket,41.2835,-70.0995,48.0,87,1,7.63,US,1620357452
559,Soledar,48.6794,38.089,51.57,91,100,6.04,UA,1620357629
560,Vanimo,-2.6741,141.3028,84.52,72,72,7.38,PG,1620357629
561,Sri Aman,1.2376,111.4621,80.6,83,40,2.3,MY,1620357629
562,Lubao,14.9167,120.55,93.2,52,75,4.61,PH,1620357630
563,Lodja,-3.4833,23.4333,69.06,99,100,0.56,CD,1620357630
564,Ukiah,39.1502,-123.2078,57.2,62,1,12.66,US,1620357630
565,Plastun,44.7561,136.2939,61.68,49,95,11.99,RU,1620357630
566,Marzuq,14.4,46.4667,72.16,67,67,5.99,YE,1620357631
